Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C42",0402,2,22uF,C105226
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C31, C4, C40, C41, C47, C5, C51, C6, C7, C8, C9",0805,33,10uF,C440198
"C32, C33, C34, C35, C36, C37, C38, C39, C53, C59, C73, C83",0402,12,100nF,C307331
"C43, C86",0603,2,22uF,C2762594
"C44, C45, C46, C48, C49, C50, C57, C63, C64, C65, C66, C69, C70, C71, C72, C77, C78, C79, C80, C88, C93, C94",0201,22,100nF,C181043
"FB1, FB2, FB3, FB4",0201,4,BLM03PX121SN1D,C525479
J1,JST_SM08B-SRSS-TB,1,SM08B-SRSS-TB,C160407
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q3, Q4, Q5, Q6, Q7, Q8, Q9",POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL,24,SP40N03GNJ,C22466709
"R1, R16, R17, R2, R21, R22, R23, R24, R37, R38, R42, R43, R44, R45, R55, R56, R6, R60, R61, R62, R63, R7, R8, R9",0201,24,15R,C473542
"R10, R118, R12, R13, R15, R18, R19, R25, R27, R28, R3, R30, R31, R33, R34, R36, R39, R4, R40, R46, R48, R49, R51, R52, R54, R57, R58, R64, R66, R67, R69, R70, R72",0201,33,10k,C473048
"R11, R14, R26, R29, R32, R35, R47, R50, R53, R65, R68, R71, R73",0201,13,1k,C270365
R119,0201,1,124k,C423759
"R20, R41, R5, R59",0201,4,220R,C473535
RSENSE1,2512,1,0.2mR,C695806
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.0mm,8,TestPoint,
U1,WSON-6_L2.0-W2.0-P0.65-TL-EP,1,TLV76733DRVR,C2848334
"U10, U2, U6, U8",QFN-28_L4.0-W4.0-P0.40-TL-EP2.4,4,AT32F421G8U7,C2765098
"U11, U3, U7, U9",QFN-24_L4.0-W4.0-P0.50-TL-EP2.8,4,NSG2065Q,C41414478
U12,SOT-363_SC-70-6,1,INA186A3IDCKR,C2058245
U18,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,LMR51420YDDCR,C7296200
U4,4in1ESC,1,~,
U5,IND-SMD_L1.6-W0.8_FTC160865SR47MBCA,1,XRIM160808SR47MBCD,C48391583
