Designator,Mid X,Mid Y,Rotation,Layer
C1,75.97,-41.1,0.0,bottom
C10,77.5,-49.2,270.0,top
C11,74.583334,-49.2,270.0,top
C12,78.958334,-49.2,270.0,top
C13,76.041667,-49.2,270.0,top
C14,73.125,-49.2,270.0,top
C15,71.666667,-49.2,270.0,top
C16,71.666667,-46.3,90.0,top
C17,74.583334,-46.3,90.0,top
C18,77.5,-46.3,90.0,top
C19,73.125,-46.3,90.0,top
C2,71.666667,-52.2,90.0,top
C20,76.041667,-46.3,90.0,top
C21,78.958334,-46.3,90.0,top
C22,80.416667,-46.3,90.0,top
C23,80.416667,-43.35,270.0,top
C24,77.5,-43.35,270.0,top
C25,74.583334,-43.35,270.0,top
C26,78.958334,-43.35,270.0,top
C27,76.041667,-43.35,270.0,top
C28,73.125,-43.35,270.0,top
C29,71.666667,-43.35,270.0,top
C3,74.583334,-52.2,90.0,top
C31,74.55,-40.4,90.0,top
C32,87.160832,-54.980354,0.0,bottom
C33,87.160534,-46.893841,0.0,bottom
C34,64.895,-49.5,180.0,bottom
C35,64.88906,-41.380549,180.0,bottom
C36,88.985832,-54.980354,0.0,bottom
C37,88.985534,-46.893841,0.0,bottom
C38,63.07,-49.5,180.0,bottom
C39,63.06406,-41.380549,180.0,bottom
C4,77.5,-52.2,90.0,top
C40,77.45,-40.4,90.0,top
C41,73.1,-40.4,90.0,top
C42,75.97,-42.045,0.0,bottom
C43,76.05,-47.0,135.0,bottom
C44,78.69,-41.46,0.0,bottom
C45,84.899772,-41.749111,90.0,bottom
C46,78.69,-43.7,0.0,bottom
C47,76.0,-40.4,90.0,top
C48,84.8,-49.9,90.0,bottom
C49,78.425,-49.725,90.0,bottom
C5,73.125,-52.2,90.0,top
C50,78.719892,-51.535903,0.0,bottom
C51,78.9,-40.4,90.0,top
C53,85.310832,-54.980354,0.0,bottom
C57,88.0,-41.15,180.0,bottom
C59,85.310534,-46.893841,0.0,bottom
C6,76.041667,-52.2,90.0,top
C63,63.95,-55.25,0.0,bottom
C64,73.33594,-55.094451,180.0,bottom
C65,67.155762,-54.64473,270.0,bottom
C66,73.33594,-52.944451,180.0,bottom
C69,78.7,-53.0,180.0,bottom
C7,78.958334,-52.2,90.0,top
C70,74.6,-46.175,270.0,bottom
C71,74.35,-43.05,270.0,bottom
C72,74.4,-53.3,270.0,bottom
C73,66.745,-49.5,180.0,bottom
C77,87.98,-49.25,180.0,bottom
C78,73.33,-46.975,180.0,bottom
C79,67.125,-46.45,270.0,bottom
C8,80.416667,-52.2,90.0,top
C80,73.33,-44.825,180.0,bottom
C83,66.73906,-41.380549,180.0,bottom
C86,75.481611,-49.9942,270.0,bottom
C88,63.95,-47.05,0.0,bottom
C9,80.416667,-49.2,270.0,top
C93,75.95,-59.15,0.0,bottom
C94,73.305,-40.6,0.0,bottom
FB1,78.695,-42.16,180.0,bottom
FB2,79.05,-49.73,270.0,bottom
FB3,73.33094,-54.394451,0.0,bottom
FB4,73.325,-46.275,0.0,bottom
J1,76.0,-33.025,180.0,bottom
Q1,79.825,-56.6375,90.0,top
Q10,87.799582,-46.22439,180.0,top
Q11,83.899594,-42.774892,90.0,top
Q12,87.799594,-42.17439,180.0,top
Q13,72.15,-56.583201,0.0,top
Q14,70.336386,-60.418971,90.0,top
Q15,68.154299,-50.074867,270.0,top
Q16,64.255952,-50.169451,0.0,top
Q17,68.164097,-53.649975,270.0,top
Q18,64.25594,-54.219451,0.0,top
Q19,69.8,-38.95,180.0,top
Q2,81.514097,-60.462379,270.0,top
Q20,73.635903,-36.275121,90.0,top
Q21,68.140202,-42.749892,270.0,top
Q22,64.250012,-42.05,0.0,top
Q23,68.15,-46.325,270.0,top
Q24,64.25,-46.1,0.0,top
Q3,83.923895,-53.625108,90.0,top
Q4,87.79988,-54.310903,180.0,top
Q5,83.914097,-50.05,90.0,top
Q6,87.799892,-50.260903,180.0,top
Q7,82.1,-38.979299,180.0,top
Q8,78.279299,-36.3,270.0,top
Q9,83.909392,-46.35,90.0,top
R1,85.375,-47.75,0.0,bottom
R10,78.69,-40.06,180.0,bottom
R11,78.69,-40.76,180.0,bottom
R118,78.7,-53.7,180.0,bottom
R119,78.68,-54.4,0.0,bottom
R12,78.69,-39.335,0.0,bottom
R13,80.149594,-39.09439,270.0,bottom
R14,80.849594,-39.09439,270.0,bottom
R15,81.574594,-39.09439,270.0,bottom
R16,85.375298,-55.836513,0.0,bottom
R17,89.700298,-55.836513,0.0,bottom
R18,78.714892,-50.810903,0.0,bottom
R19,78.719892,-52.260903,0.0,bottom
R2,89.7,-47.75,0.0,bottom
R20,77.25,-40.57,270.0,bottom
R21,86.800298,-55.836513,0.0,bottom
R22,90.225298,-52.361513,90.0,bottom
R23,88.255298,-55.836513,0.0,bottom
R24,90.225298,-50.961513,90.0,bottom
R25,78.719892,-47.985903,180.0,bottom
R26,78.719892,-48.685903,180.0,bottom
R27,78.719892,-47.260903,0.0,bottom
R28,80.149892,-47.180903,90.0,bottom
R29,80.849892,-47.180903,270.0,bottom
R3,78.685,-42.885,0.0,bottom
R30,81.574892,-47.180903,270.0,bottom
R31,82.324892,-47.180903,270.0,bottom
R32,83.049892,-47.180903,270.0,bottom
R33,83.774892,-47.180903,90.0,bottom
R34,82.324594,-39.05,270.0,bottom
R35,83.049594,-39.05,270.0,bottom
R36,83.774594,-39.05,90.0,bottom
R37,66.680534,-48.643841,180.0,bottom
R38,62.355534,-48.643841,180.0,bottom
R39,73.34094,-53.669451,180.0,bottom
R4,78.69,-44.335,0.0,bottom
R40,73.33594,-52.219451,180.0,bottom
R41,73.3,-42.0,0.0,bottom
R42,65.255534,-48.643841,180.0,bottom
R43,61.830534,-52.118841,270.0,bottom
R44,63.800534,-48.643841,180.0,bottom
R45,61.830534,-53.518841,270.0,bottom
R46,73.33594,-56.494451,0.0,bottom
R47,73.33594,-55.794451,0.0,bottom
R48,73.33594,-57.219451,180.0,bottom
R49,71.90594,-57.299451,270.0,bottom
R5,76.2,-40.25,0.0,bottom
R50,71.20594,-57.299451,270.0,bottom
R51,70.48094,-57.299451,90.0,bottom
R52,69.73094,-57.299451,90.0,bottom
R53,69.00594,-57.35,90.0,bottom
R54,68.28094,-57.35,270.0,bottom
R55,66.674594,-40.52439,180.0,bottom
R56,62.349594,-40.52439,180.0,bottom
R57,73.335,-45.55,180.0,bottom
R58,73.33,-44.1,180.0,bottom
R59,73.3,-41.3,0.0,bottom
R6,86.8,-47.75,0.0,bottom
R60,65.249594,-40.52439,180.0,bottom
R61,61.824594,-43.99939,270.0,bottom
R62,63.794594,-40.52439,180.0,bottom
R63,61.824594,-45.39939,270.0,bottom
R64,73.33,-48.375,0.0,bottom
R65,73.33,-47.675,0.0,bottom
R66,73.33,-49.1,180.0,bottom
R67,71.9,-49.18,270.0,bottom
R68,71.2,-49.18,90.0,bottom
R69,70.475,-49.18,90.0,bottom
R7,90.225,-44.275,90.0,bottom
R70,69.725,-49.18,90.0,bottom
R71,69.0,-49.18,90.0,bottom
R72,68.275,-49.18,270.0,bottom
R73,73.305,-39.9,180.0,bottom
R8,88.255,-47.75,0.0,bottom
R9,90.225,-42.875,90.0,bottom
RSENSE1,76.0,-58.35,90.0,top
U1,75.625,-43.92,270.0,bottom
U10,70.05,-45.925,90.0,bottom
U11,64.67453,-44.29986,180.0,bottom
U12,75.97,-57.38,180.0,bottom
U18,76.35,-53.299098,0.0,bottom
U2,81.999892,-50.435903,270.0,bottom
U3,87.375362,-52.061043,0.0,bottom
U4,75.999998,-48.5,0.0,top
U5,76.981611,-49.9942,270.0,bottom
U6,81.999594,-42.34939,270.0,bottom
U7,87.375064,-43.97453,0.0,bottom
U8,70.05594,-54.044451,90.0,bottom
U9,64.68047,-52.419311,180.0,bottom
